Selector,Status,Source,Context,Drift Count,Session Aging (s)
.experience__item:hover,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'transform': 'translatey(-3px)', 'box-shadow': '0 1px 2px rgba(13, 20, 55, 0.04), 0 8px 24px rgba(13, 20, 55, 0.06)', 'border-color': '#C9D3FF'}",0,0.15
.experience,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'list-style': 'none', 'margin': '0', 'padding': '0', 'display': 'grid', 'grid-template-columns': '1fr', 'gap': '16px'}",0,0.15
.dot-list,Isolated Variance,Foundation Computing Engineering.css,"{'list-style': 'none', 'margin': '0', 'padding': '0', 'display': 'flex', 'flex-direction': 'column', 'gap': '12px'}",6,0.15
.career-roles,Isolated Variance,course-template-v2.css,"{'list-style': 'none', 'margin': '0', 'padding': '0', 'display': 'grid', 'grid-template-columns': 'repeat(2, 1fr)', 'grid-auto-rows': '1fr', 'gap': '12px'}",7,0.15
.apply-banner,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'align-items': '[course-template-v2.css]: stretch | [Foundation Computing Engineering.css]: center', 'justify-content': '[course-template-v2.css]: None | [Foundation Computing Engineering.css]: space-between', 'flex-direction': '[course-template-v2.css]: column | [Foundation Computing Engineering.css]: None', 'padding': '[course-template-v2.css]: 24px 28px | [Foundation Computing Engineering.css]: 32px 40px', 'flex-wrap': '[course-template-v2.css]: None | [Foundation Computing Engineering.css]: wrap', 'gap': '[course-template-v2.css]: 16px | [Foundation Computing Engineering.css]: 20px'}",6,0.15
.programme__img,Isolated Variance,course-template-v2.css,"{'width': '100%', 'height': '100%', 'min-height': 'inherit', 'object-fit': 'cover'}",4,0.15
.alumni__role,Isolated Variance,course-template-v2.css,"{'margin': '2px 0 0', 'font-size': '11px', 'color': 'rgba(255, 255, 255, 0.6)'}",3,0.15
.brand__name,Isolated Variance,course-template-v2.css,"{'display': 'block', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '800', 'font-size': '18px', 'letter-spacing': '0.5px'}",5,0.15
"html, body",Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'margin': '0', 'padding': '0'}",0,0.15
.advisor__method,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'background': 'rgba(255, 255, 255, 0.1)', 'border': '1px solid rgba(255, 255, 255, 0.18)', 'border-radius': '12px', 'padding': '16px 12px', 'text-align': 'center', 'cursor': 'pointer', 'transition': 'background 0.15s ease, transform 0.15s ease', 'align-self': 'stretch', 'display': 'flex', 'flex-direction': 'column', 'justify-content': 'center'}",0,0.15
.ai-native__figure,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'min-height': '[course-template-v2.css]: 180px | [Foundation Computing Engineering.css]: None', 'overflow': '[course-template-v2.css]: hidden | [Foundation Computing Engineering.css]: None', 'width': '[course-template-v2.css]: 100% | [Foundation Computing Engineering.css]: None', 'border-radius': '[course-template-v2.css]: 12px | [Foundation Computing Engineering.css]: None'}",4,0.15
.ai-native__item--media,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'min-height': '[course-template-v2.css]: None | [Foundation Computing Engineering.css]: 160px', 'grid-column': '[course-template-v2.css]: 1/-1 | [Foundation Computing Engineering.css]: None', 'overflow': '[course-template-v2.css]: None | [Foundation Computing Engineering.css]: hidden', 'border': '[course-template-v2.css]: 0 | [Foundation Computing Engineering.css]: None', 'box-shadow': '[course-template-v2.css]: none | [Foundation Computing Engineering.css]: None', 'background': '[course-template-v2.css]: transparent | [Foundation Computing Engineering.css]: None'}",6,0.15
.brand--footer .brand__tag,Isolated Variance,course-template-v2.css,{'font-size': '6px'},1,0.15
.key-facts__title,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'margin': '0', 'color': '#fff', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '800', 'font-size': '14px', 'line-height': '1.1'}",0,0.15
.alumni__foot,Isolated Variance,course-template-v2.css,"{'display': 'flex', 'justify-content': 'space-between', 'align-items': 'flex-end', 'gap': '12px', 'margin-top': 'auto'}",5,0.15
.entry-reqs__assessment,Isolated Variance,Foundation Computing Engineering.css,"{'margin-top': '20px', 'padding-top': '20px', 'border-top': '1px solid #EEF0F5'}",3,0.15
.outcomes__stat,Isolated Variance,course-template-v2.css,"{'background': '#fff', 'border': '1px solid #EEF0F5', 'border-radius': '12px', 'padding': '20px 16px', 'text-align': 'center', 'box-shadow': '0 1px 3px rgba(13, 20, 55, 0.05), 0 4px 12px rgba(13, 20, 55, 0.04)', 'display': 'flex', 'flex-direction': 'column', 'justify-content': 'center'}",9,0.15
.advisor__methods,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'list-style': 'none', 'margin': '0', 'padding': '0', 'display': 'grid', 'grid-template-columns': '1fr', 'gap': '12px', 'align-items': 'center'}",0,0.15
.footer__bottom,Isolated Variance,course-template-v2.css,"{'margin-top': '48px', 'padding-top': '20px', 'border-top': '1px solid rgba(255, 255, 255, 0.08)', 'display': 'flex', 'flex-wrap': 'wrap', 'justify-content': 'space-between', 'gap': '12px', 'font-size': '11.5px', 'color': 'rgba(255, 255, 255, 0.55)'}",9,0.15
.rank-card__num,Isolated Variance,course-template-v2.css,"{'margin': '0 0 12px', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '800', 'font-size': '72px', 'letter-spacing': '-1.5px', 'line-height': '1.04'}",6,0.15
.section-card__lede,Isolated Variance,Foundation Computing Engineering.css,"{'margin': '0 0 24px', 'max-width': '860px', 'font-size': '18px', 'color': '#1A2238', 'line-height': '1.55'}",5,0.15
.section-header--on-purple,Isolated Variance,course-template-v2.css,{'margin-bottom': '12px'},1,0.15
.alumni__avatar-wrap,Isolated Variance,course-template-v2.css,"{'margin': '0', 'width': '56px', 'height': '56px', 'border-radius': '999px', 'overflow': 'hidden', 'flex-shrink': '0'}",6,0.15
.button:focus-visible,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'outline': '3px solid #7C3AED', 'outline-offset': '2px', 'border-radius': '4px'}",0,0.15
.career-roles__icon,Isolated Variance,course-template-v2.css,"{'width': '60px', 'height': '60px', 'margin': '0 auto 12px', 'display': 'grid', 'place-items': 'center', 'border-radius': '999px'}",6,0.15
.check-list,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'list-style': 'none', 'margin': '0', 'padding': '0', 'display': 'flex', 'flex-direction': 'column', 'gap': '12px'}",0,0.15
.footer__social:focus-visible,Isolated Variance,course-template-v2.css,"{'outline': '3px solid #fff', 'outline-offset': '2px', 'border-radius': '4px'}",3,0.15
.section-header,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css",{'margin-bottom': '[course-template-v2.css]: 32px | [Foundation Computing Engineering.css]: 28px'},1,0.15
.partner-chips,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'list-style': 'none', 'margin': '8px 0 0', 'padding': '0', 'display': 'grid', 'grid-template-columns': '1fr 1fr', 'gap': '12px'}",0,0.15
.entry-reqs,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'display': 'grid', 'grid-template-columns': '1fr', 'gap': '20px'}",0,0.15
.partner-chips__item:hover,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'transform': 'translatey(-1px)', 'border-color': '#7C3AED'}",0,0.15
.user-custom--future-careers,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.course-hero__title,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'display': 'block', 'margin-top': '8px', 'color': '#B5A0FF', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '800', 'font-size': '40px', 'letter-spacing': '-1px', 'line-height': '1.04'}",0,0.15
.section-header__title,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'margin': '0', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '800', 'font-size': '22px', 'letter-spacing': '-0.5px', 'color': '#7C3AED', 'line-height': '1.2'}",0,0.15
.course-hero .key-title,Isolated Variance,Foundation Computing Engineering.css,{'grid-area': 'facts-title'},1,0.15
.user-custom--alumni,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.user-custom--advisor,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.button--primary-blue,Isolated Variance,course-template-v2.css,"{'background': 'linear-gradient(90deg, #2563EB, #1F5CFF)', 'color': '#fff', 'box-shadow': '0 6px 22px rgba(37, 99, 235, 0.4)'}",3,0.15
.brand__mark,Isolated Variance,course-template-v2.css,"{'display': 'inline-block', 'background': '#E5252B', 'color': '#fff', 'padding': '8px 10px 7px', 'border-radius': '3px', 'text-align': 'center', 'line-height': '1', 'text-transform': 'uppercase'}",8,0.15
.entry-reqs__col,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'border': '[course-template-v2.css]: 1px solid #E6E8EE | [Foundation Computing Engineering.css]: 1px solid #EEF0F5', 'flex-direction': '[course-template-v2.css]: column | [Foundation Computing Engineering.css]: None', 'display': '[course-template-v2.css]: flex | [Foundation Computing Engineering.css]: None', 'gap': '[course-template-v2.css]: 16px | [Foundation Computing Engineering.css]: None', 'background': '[course-template-v2.css]: #fff | [Foundation Computing Engineering.css]: #FFF'}",5,0.15
.info-card__text,Isolated Variance,Foundation Computing Engineering.css,"{'margin': '0', 'font-size': '14px', 'color': '#4B5563', 'line-height': '1.6'}",4,0.15
.alumni__quote,Isolated Variance,course-template-v2.css,"{'margin': '0', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '700', 'font-size': '14px', 'letter-spacing': '-0.2px', 'color': '#fff', 'line-height': '1.5'}",7,0.15
.info-card,Isolated Variance,Foundation Computing Engineering.css,"{'background': '#F8F9FC', 'border': '1px solid #EEF0F5', 'border-radius': '16px', 'padding': '24px'}",4,0.15
.progression__item,Isolated Variance,Foundation Computing Engineering.css,"{'position': 'relative', 'padding-left': '24px', 'font-size': '14px', 'color': '#fff', 'line-height': '1.45'}",5,0.15
.user-custom--experience,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.topbar__nav-link,Isolated Variance,course-template-v2.css,"{'color': '#fff', 'text-decoration': 'none', 'opacity': '0.92', 'transition': 'opacity 0.15s ease, color 0.15s ease'}",4,0.15
.course-hero__pre,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'display': 'block', 'color': 'rgba(255, 255, 255, 0.85)', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '800', 'font-size': '28px', 'letter-spacing': '-0.5px', 'line-height': '1.04'}",0,0.15
.course-shell,Isolated Variance,course-template-v2.css,"{'background': 'linear-gradient(135deg, #0B0E2E 0%, #1A1F4A 50%, #2D2570 100%)', 'color': '#fff', 'position': 'relative', 'overflow': 'hidden'}",4,0.15
.button__icon,Isolated Variance,Foundation Computing Engineering.css,{'flex-shrink': '0'},1,0.15
.experience__body,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{'padding': '16px'},0,0.15
